Stage,threshold,total_samples,tp,fp,fn,tn,precision,recall,f1,fpr,fnr,specificity,accuracy,balanced_accuracy,mcc,auroc,auprc
1. Raw/Factual Graph,0.1,2568,892,0,182,1494,1.0,0.8305,0.9074,0.0,0.1695,1.0,0.9291,0.9153,0.8604,0.9583,0.9647
2. Behavior Abstraction,0.1,2568,966,114,108,1380,0.8944,0.8994,0.8969,0.0763,0.1006,0.9237,0.9136,0.9116,0.8225,0.9518,0.9491
3. Behavior Abstraction + Chaining,0.1,2568,966,114,108,1380,0.8944,0.8994,0.8969,0.0763,0.1006,0.9237,0.9136,0.9116,0.8225,0.9436,0.9367
