Configuration,w_rule,w_gat,precision,recall,f1,fpr,specificity,auroc,auprc,can_gat_alert_alone
"Flawed Baseline (wRule=0.55, wGAT=0.45)",0.55,0.45,0.8944,0.8994,0.8969,0.0763,0.9237,0.9441,0.9376,True
"Default CASCE (wRule=1.00, wGAT=0.75)",1.0,0.75,0.8944,0.8994,0.8969,0.0763,0.9237,0.9436,0.9367,True
"Optimal Validation Tuned (wRule=0.50, wGAT=0.50)",0.5,0.5,0.8944,0.8994,0.8969,0.0763,0.9237,0.9444,0.9381,True
"Symmetric Dual-Path (wRule=1.00, wGAT=1.00)",1.0,1.0,0.8944,0.8994,0.8969,0.0763,0.9237,0.944,0.9374,True
